央视,#genre#
CCTV-1 综合,http://150.138.8.143/00/SNM/CHANNEL00000311/index.m3u8
CCTV-1 综合,http://150.138.8.143/00/SNM/CHANNEL00004003/index.m3u8
CCTV-2 财经,http://150.138.8.143/00/SNM/CHANNEL00000317/index.m3u8
CCTV-3 综艺,http://150.138.8.143/00/SNM/CHANNEL00000359/index.m3u8
CCTV-4 (亚洲),http://150.138.8.143/00/SNM/CHANNEL00000320/index.m3u8
CCTV-4 (欧洲),http://150.138.8.143/00/SNM/CHANNEL00000350/index.m3u8
CCTV-4 (美洲),http://150.138.8.143/00/SNM/CHANNEL00000351/index.m3u8
CCTV-5 体育,http://150.138.8.143/00/SNM/CHANNEL00000360/index.m3u8
CCTV-5+ 体育赛事,http://150.138.8.143/00/SNM/CHANNEL00000316/index.m3u8
CCTV-6 电影,http://150.138.8.143/00/SNM/CHANNEL00000361/index.m3u8
CCTV-7 国防军事,http://150.138.8.143/00/SNM/CHANNEL00000318/index.m3u8
CCTV-8 电视剧,http://150.138.8.143/00/SNM/CHANNEL00000362/index.m3u8
CCTV-9 纪录,http://150.138.8.143/00/SNM/CHANNEL00000319/index.m3u8
CCTV-10 科教,http://150.138.8.143/00/SNM/CHANNEL00000321/index.m3u8
CCTV-11 戏曲,http://150.138.8.143/00/SNM/CHANNEL00000344/index.m3u8
CCTV-12 社会与法,http://150.138.8.143/00/SNM/CHANNEL00000322/index.m3u8
CCTV-13 新闻,http://150.138.8.143/00/SNM/CHANNEL00000345/index.m3u8
CCTV-14 少儿,http://150.138.8.143/00/SNM/CHANNEL00000323/index.m3u8
CCTV-15 音乐,http://150.138.8.143/00/SNM/CHANNEL00000346/index.m3u8
CCTV-17 农业农村,http://150.138.8.143/00/SNM/CHANNEL00000303/index.m3u8
中央新影 中学生,http://150.138.8.143/00/SNM/CHANNEL00000673/index.m3u8
CETV-1,http://150.138.8.143/00/SNM/CHANNEL00000076/index.m3u8
CETV-4,http://150.138.8.143/00/SNM/CHANNEL00000666/index.m3u8
CETV-生态环境,http://150.138.8.143/00/SNM/CHANNEL00000671/index.m3u8
CGTN,http://150.138.8.143/00/SNM/CHANNEL00000352/index.m3u8
CGTN俄语,http://150.138.8.143/00/SNM/CHANNEL00000357/index.m3u8
CGTN法语,http://150.138.8.143/00/SNM/CHANNEL00000355/index.m3u8
CGTN纪录,http://150.138.8.143/00/SNM/CHANNEL00000353/index.m3u8
CGTN西语,http://150.138.8.143/00/SNM/CHANNEL00000354/index.m3u8
CGTN阿语,http://150.138.8.143/00/SNM/CHANNEL00000356/index.m3u8


卫视,#genre#
北京卫视,http://150.138.8.143/00/SNM/CHANNEL00000302/index.m3u8
北京卫视-4K,http://150.138.8.132/PLTV/88888888/224/3221227299/518924348.smil/index.m3u8?fmt=ts2hls
山东卫视,http://150.138.8.143/00/SNM/CHANNEL00001068/index.m3u8
浙江卫视,http://150.138.8.143/00/SNM/CHANNEL00000305/index.m3u8
湖南卫视,http://150.138.8.143/00/SNM/CHANNEL00000324/index.m3u8
凤凰卫视,http://150.138.8.143/00/SNM/CHANNEL00000380/index.m3u8
江苏卫视,http://150.138.8.143/00/SNM/CHANNEL00000304/index.m3u8

三沙卫视,http://150.138.8.143/00/SNM/CHANNEL00000078/index.m3u8
